DISC MP4	TRACK	ARTIST	TITLE	LOCATION	FILE	TIME START	TIME END						
2	16	David Bowie	Rebel Rebel	London	Live Aid (1985) - S01E02 - Disc 2.mp4	01:13:06.616	01:16:17.273						
2	17	David Bowie	Modern Love	London	Live Aid (1985) - S01E02 - Disc 2.mp4	01:16:17.273	01:19:54.523						
2	18	David Bowie	Heroes	London	Live Aid (1985) - S01E02 - Disc 2.mp4	01:19:54.523	01:26:45.901						
2	19	---	CBC Ethiopian Famine Film	Video	Live Aid (1985) - S01E02 - Disc 2.mp4	01:26:45.901	01:30:54.449						
2	20	Joan Baez	Amazing Grace	Philadelphia	Live Aid (1985) - S01E02 - Disc 2.mp4	01:30:54.449	01:32:22.804						
2	21	The Pretenders	Stop Your Sobbing	Philadelphia	Live Aid (1985) - S01E02 - Disc 2.mp4	01:32:22.804	01:34:25.093						
2	22	The Pretenders	Chain Gang	Philadelphia	Live Aid (1985) - S01E02 - Disc 2.mp4	01:34:25.093	01:38:00.208						
2	23	The Pretenders	Middle Of The Road	Philadelphia	Live Aid (1985) - S01E02 - Disc 2.mp4	01:38:00.208	01:42:46.427						
2	24	The Who	Love Reign O'er Me	London	Live Aid (1985) - S01E02 - Disc 2.mp4	01:42:46.427	01:47:59.707						
2	25	The Who	Won't Get Fooled Again	London	Live Aid (1985) - S01E02 - Disc 2.mp4	01:47:59.707	01:57:35.015						
2	26	Kenny Loggins	Footloose	Philadelphia	Live Aid (1985) - S01E02 - Disc 2.mp4	01:57:35.015	02:02:17.864						
2	27	Elton John	Bennie and the Jets	London	Live Aid (1985) - S01E02 - Disc 2.mp4	02:02:17.864	02:07:33.012						
2	28	Elton John	Rocket Man	London	Live Aid (1985) - S01E02 - Disc 2.mp4	02:07:33.012	02:12:24.136						
2	29	Elton John + Kiki Dee	Don't Go Breaking My Heart	London	Live Aid (1985) - S01E02 - Disc 2.mp4	02:12:24.136	02:17:14.793						
