DATE (EDT)	TIME START (EDT)	TIME END (EDT)	DATE (BST)	TIME START (BST)	TIME END (BST)	BBC SIMULCAST TIME START	BBC SIMULCAST TIME END	MTV SIMULCAST TIME START	MTV SIMULCAST TIME END	DURATION	LOCATION	PERFORMER(S)	TITLE	NOTES
1985-07-13	09:01:00	09:01:46	1985-07-13	14:01:00	14:01:46	02:13:00	02:13:46	02:05:21	02:06:07	00:00:46	Philadelphia	Joan Baez	Introduction by Bill Graham of Jack Nicholson	
1985-07-13	09:01:46	09:03:05	1985-07-13	14:01:46	14:03:05	02:13:46	02:15:05	02:06:07	02:07:26	00:01:19	Philadelphia	Joan Baez	Introduction by Jack Nicholson	
1985-07-13	09:03:05	09:04:20	1985-07-13	14:03:05	14:04:20	02:15:05	02:16:20	02:07:26	02:08:41	00:01:15	Philadelphia	Joan Baez	Speech	
1985-07-13	09:04:20	09:06:15	1985-07-13	14:04:20	14:06:15	02:16:20	02:18:15	02:08:41	02:10:36	00:01:55	Philadelphia	Joan Baez	Amazing Grace	
1985-07-13	09:06:15	09:08:49	1985-07-13	14:06:15	14:08:49	02:18:15	02:20:49	02:10:36	02:13:10	00:02:34	Philadelphia	Joan Baez	We Are the World	
1985-07-13	09:07:00	09:07:24	1985-07-13	14:07:00	14:07:24	02:19:00	02:19:24	02:11:21	02:11:45	00:00:24	London	Elvis Costello	Introduction by Andy Peebles	
1985-07-13	09:07:24	09:11:06	1985-07-13	14:07:24	14:11:06	02:19:24	02:23:06	02:11:45	02:15:27	00:03:42	London	Elvis Costello	All You Need Is Love	
1985-07-13	09:10:00	09:11:30	1985-07-13	14:10:00	14:11:30	02:22:00	02:23:30	02:14:21	02:15:51	00:01:30	Philadelphia	The Hooters	Introduction by Bill Graham of Chevy Chase and Joe Piscopo	
1985-07-13	09:11:30	09:13:00	1985-07-13	14:11:30	14:13:00	02:23:30	02:25:00	02:15:51	02:17:21	00:01:30	Philadelphia	The Hooters	Introduction by Chevy Chase and Joe Piscopo	
1985-07-13	09:12:00	09:12:52	1985-07-13	14:12:00	14:12:52	02:24:00	02:24:52	02:16:21	02:17:13	00:00:52	Video [Austria]	Austria for Afrika	Introduction	
