DISC MP4	TRACK	ARTIST	TITLE	LOCATION	TIME START	TIME END	FILE
8	53	Four Tops	Shake Me, Wake Me (When It's Over)	Philadelphia	02:36:41.000	02:39:23.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	54	Four Tops	Bernadette	Philadelphia	02:39:23.000	02:41:06.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	55	Nik Kershaw	Wouldn't It Be Good	London	02:39:26.000	02:44:38.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	56	Four Tops	It's the Same Old Song	Philadelphia	02:41:06.000	02:42:26.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	57	Four Tops	Reach Out I'll Be There	Philadelphia	02:42:26.000	02:44:02.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	58	Four Tops	I Can't Help Myself (Sugar Pie, Honey Bunch)	Philadelphia	02:44:02.000	02:46:30.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	59	B.B. King	Introduction [JVC North Sea Jazz Festival]	Video - Netherlands	02:44:21.000	02:45:01.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	60	B.B. King	When It All Comes Down [JVC North Sea Jazz Festival]	Video - Netherlands	02:45:01.000	02:45:29.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	61	B.B. King	Why I Sing the Blues [JVC North Sea Jazz Festival]	Video - Netherlands	02:45:29.000	02:48:50.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	62	B.B. King	Don't Answer the Door [JVC North Sea Jazz Festival]	Video - Netherlands	02:48:50.000	02:51:48.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	63	Billy Ocean	Introduction by Chevy Chase	Philadelphia	02:49:21.000	02:49:41.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	64	Billy Ocean	Caribbean Queen	Philadelphia	02:49:41.000	02:53:49.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	65	B.B. King	Rock Me Baby [JVC North Sea Jazz Festival]	Video - Netherlands	02:51:48.000	02:53:54.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	66	Billy Ocean	Loverboy	Philadelphia	02:53:49.000	02:57:27.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	67	Sade	Introduction	London	02:57:21.000	02:57:34.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	68	Sade	Why Can't We Live Together	London	02:57:34.000	03:03:09.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	69	Black Sabbath	Introduction by Chevy Chase	Philadelphia	02:59:21.000	02:59:41.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	70	Black Sabbath	Children of the Grave	Philadelphia	02:59:41.000	03:03:59.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	71	Sade	Your Love Is King	London	03:03:09.000	03:07:43.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	72	Black Sabbath	Iron Man	Philadelphia	03:03:59.000	03:11:43.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	73	Sade	Is It a Crime?	London	03:07:43.000	03:13:53.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	74	Black Sabbath	Paranoid	Philadelphia	03:11:43.000	03:15:01.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	75	Yu Rock Mission	Introduction by Mladen Popovic	Video - Yugoslavia	03:14:21.000	03:14:51.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	76	Yu Rock Mission	For a Million Years	Video - Yugoslavia	03:14:51.000	03:19:33.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	77	Run–D.M.C.	Introduction by Joe Piscopo	Philadelphia	03:16:21.000	03:16:41.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
